Customer ID,Recency,Monetary value,Frequency
0058153a752ee674162564afb1191d25,11,93.89,1
011b97b83f521e755f03173c96baf57b,102,92.39,1
015f98a7155c15075a5f77a37a8205ed,62,60.42,1
0184a596785fae3af62eb04f7c4221f4,102,108.92,1
0198441fd94fedf81ba98683f6449a1e,126,14.42,1
01a61e75bd333a349351fba370520597,9,256.59,1
01b4d8edfd68874d23092c8fcb6a4edb,74,33.13,1
01ebd7292a8ec3c547e0876d1aa4b3db,125,189.08,1
01f4581bf20e14d770c5de782d7ee783,23,75.17,1
01f57b226a3850a260e40698c2bd2fd6,62,419.03,1
0225ea6650051752e6352a65f4316c49,102,71.78,1
025247dee36960e70666880b8073e582,82,31.95,1
025c2b263a9a9247f855c0c777aabe33,39,278.04,1
028ec50772515edd2a7c7e6f212cc27f,22,68.35,1
0297d4246fd48c7ed31b81c7f99776eb,48,92.30000000000001,2
02c1e8e3240934520c94905a9b6c004c,68,35.84,1
02d22b2dd08fd5b4bb3ebac28f73d68c,33,88.83,1
02f5837ff2d19277d066df76e27a8cca,83,44.72,1
034dc20625271d7092e8228d1a80cac4,35,35.23,1
03c75f8dfffde486ab30360f6e689a4f,13,277.86,1
03d03aea0d866191e5f60d0fca091f4e,113,92.64,1
03fcc171d06123c951b373d1bf113748,17,118.83,1
042b53f9e609289d8f6fcbd59b4acf63,150,3.39,1
04370b820ba7c7a238a5862e04bea0f3,5,279.11,1
047965eae6564b51ea05b945966ec595,19,151.06,1
04802886a43fe74bd00496abf197b3a6,47,22.38,1
04889e0130acf2e7b2de087d02994ce3,141,2048.12,1
04a0f320323673ed32272d2ee4d5cf39,98,119.57,1
04e78263360f4c3aee74cc715c333608,111,83.46,1
054ab203cd9764221a28a41cce1e8cd0,8,50.03,1
05fdac815ea6a7f430e1dde5c80bd6c4,116,85.01,1
06e663beae776e2f679ae6d7ccfd222e,149,169.64,1
070bca17bc76a393ba985b11b2f9deda,127,152.66,1
07176b181cc48bdaa6807f4a88e17d4a,70,215.81,1
074cc70e32d05dcf3c23aead0dba2320,126,644.54,1
07a09de7be7dc41038159430e5e9cce6,86,376.36,1
07a0f2cfb244ec5172ac0fbec747a6f2,137,129.32,1
08029b648bf207edf7c24f3673382bf2,121,612.54,1
0809899bfc84b0bc917a8c279c5dbb5b,42,43.98,1
08401dcdc7bcc78f11f41f9621df7429,56,127.09,1
0888ceb9767c8f38f24962e72e7c32fa,105,141.58,1
089b4797064af9e8aa2cce7f5d444cc2,70,473.4,1
0971e7340c57e772a442f0f319161c7a,36,84.69,1
0977ccd98cf666f24223669c1aae0180,64,112.42,1
0977e0b93fd518fc88b277900af29e65,33,1237.28,1
099777051fbedb21f76286089db72fba,60,70.46,1
09a6ee079b6cde6bb2383abad4a33300,121,112.14,1
09cc193befa14d698869667e92148ab2,133,391.66,1
09d1557bc553526e8b15d877e8b86650,117,174.97,1
0a014efd7c067b6527b82c28abef318d,91,227.38,1
0ac6e866456134e119bfe219a91cd925,106,86.58,1
0af2831dd8e096d67a27ba7cfba20f78,20,206.88,1
0afd3fc9533b6a435dab3f0c2f591b8f,15,213.6,1
0b15496cbc114f48fa133a72bb4ab7b1,148,191.79,1
0b1eba4495cff96b5050ccfcd08acbe7,98,54.73,1
0b27725e97cb4b6100a8a01b288cead5,66,247.68,1
0b42763d66e65a34f6e2978facaf93da,33,134.34,1
0b516b1985a3c37fc5b3e2d513d3f688,138,120.84,1
0b6707dd98b94c2db232fc406ceb9077,66,225.59,1
0bdaa2e4eb24874165d8a289092f7407,19,162.79,1
0be4ccac4dad0eece92dc788cd5e9260,100,108.64,1
0bfa1bc373e0b5b09842638f464bd547,76,347.79,1
