Customer ID,Recency,Monetary value,Frequency
001051abfcfdbed9f87b4266213a5df1,91,32.03,1
00447b6bd39c4a0f6366b05948f9e2e3,64,303.79,1
00b96a156e6827442e5ec7c620a39d24,129,55.22,1
00bd2f03a3aeb727b9c7bf7c2a1c094b,48,72.08,1
00f394e6fc446865ac4097b6db69ef4a,28,289.9,1
0117fcfe90f5c0df487c5eb4ae067aff,35,170.44,1
0120f40c1cfb22b538c7f78c8b5265dd,104,82.33,1
0179f2f4c32e0b0c2a4cb0d57e7d5a26,110,1308.18,1
0184a596785fae3af62eb04f7c4221f4,103,108.92,1
01a61e75bd333a349351fba370520597,9,256.59,1
01f4581bf20e14d770c5de782d7ee783,23,75.17,1
01f57b226a3850a260e40698c2bd2fd6,62,419.03,1
020e0c200a053638412950ba455d5b37,55,400.66,1
02469bb79cf0096970abae40244a4c6f,17,97.32,1
024a05bd7b940e8cf5827498ed1e039d,87,109.74,1
02502a29041f75b4982896ed8ca6e736,79,41.53,1
02628c7e9eed8af6043c70257a7a87c1,107,219.77,1
026ae2477af95b832998d23578eb4336,45,163.82,1
02d34c287580a6f46ad7ffc395bbc208,86,32.39,1
03071a983e944c48990031952443e211,69,314.81,1
0309690623536dfb91d1ba2154c69507,120,28.38,1
0346ede17045f279840b35cecd360d14,5,87.81,1
034dc20625271d7092e8228d1a80cac4,35,35.23,1
039c5d6f330c73420f1658e63f67f0ff,27,29.77,1
045a67d23d3e4a1cc8aa412d8f8b79d2,91,309.35,1
047965eae6564b51ea05b945966ec595,19,151.06,1
0492fbcccc19cfdea66d667173ebce63,20,27.89,1
04e78263360f4c3aee74cc715c333608,111,83.46,1
05401fad06eec92dc8a514d6f277d68b,58,78.64,1
05c3177330bc9de5e895ecfe6eaf9687,132,119.57,1
05e54a5f9eb2f443192d44067147a451,147,76.69,1
05f1c2a8e913a4084727ac728bbdbec2,28,96.17,1
060a46317755b43c75aa45102a4e96d8,38,83.79,1
06d529bccb0825265d8b5b73c66e53d8,10,43.98,1
070bca17bc76a393ba985b11b2f9deda,128,152.66,1
07390941d6bce5dacaa94780a994022b,38,157.79,1
07396c453f4681f7be214112539b29b8,55,114.0,1
07660608cde07538da3a7ff7a838af11,106,33.19,2
077e58337411253659e060d903cec280,12,27.89,1
078e99036000210bb0d5abb62fdeecee,16,370.22,1
07b49e1f48e3b25898e300705a980b55,28,81.28,1
0829a7f317e4c74aaf5651b578c781fd,34,210.04,1
08a4e770189d6ee87c5d3b58f9f191f2,115,52.87,1
08c09f773095ffbf190840b7b922a4ea,64,67.43,1
