Customer ID,Recency,Monetary value,Frequency
00993c1bdbff4f24ca6b8124b4cf5a1f,35,43.29,1
01187871d33eda6ba14aea590bb50d0e,12,176.88,1
01621ab81b760e6e48e8eb3a300c77bf,80,316.2,1
0166c4ebd26a021fe864a0b91761f50f,107,109.75,1
0179f2f4c32e0b0c2a4cb0d57e7d5a26,109,1308.18,1
018b4fd25720e7fb0de00600f3aa0947,24,81.96,1
01b4d8edfd68874d23092c8fcb6a4edb,73,33.13,1
0205715514ce31607e0438aa7421f189,60,108.88,1
02d22b2dd08fd5b4bb3ebac28f73d68c,32,88.83,1
02e86093158ca5dc555cd7674b753274,131,521.13,1
0310b25c98b10f9c6d22b9009455df37,27,179.9,1
03561aef46e7dc993d752d9edf39d31c,46,131.21,1
0383cb4f0f80f571863a2542410f51e0,106,147.99,1
03a62f764ee7e4701929561d653e4029,110,239.06,4
03cdd9e78baf4d26f27d09cc8a29e774,124,174.24,1
03e4aa263433c6741b5d22e28272c520,13,42.5,1
040998babd9231bd6c86f6e85707fa5e,134,44.42,1
042b53f9e609289d8f6fcbd59b4acf63,149,515.32,3
04802886a43fe74bd00496abf197b3a6,46,22.38,1
04889e0130acf2e7b2de087d02994ce3,140,2048.12,1
048de0c58d1e0162415cff6a34e2df65,90,45.43,1
04e78263360f4c3aee74cc715c333608,110,83.46,1
054a61b5ef37f443a58664bdea26488e,19,167.37,1
054ab203cd9764221a28a41cce1e8cd0,7,50.03,1
0573edc5eccee58dab8992faab015e4b,70,32.22,1
057ab3c9006d239fa05fca50c8be5df4,142,117.57,1
059dbf90df50f39161c4549cc35057bc,131,91.13,1
05a0af0b2fb1454dd6d697eca5e7a1d8,32,223.19,1
05dd892bc3cdf380c532320e27148f33,105,212.03,1
05e54a5f9eb2f443192d44067147a451,146,76.69,1
05f0ba650e96816117cc49d9194cf3f5,14,134.88,1
05f1c2a8e913a4084727ac728bbdbec2,26,96.17,1
05f6417c7a29d3f102b0714fbe276295,132,28.13,1
060a46317755b43c75aa45102a4e96d8,37,83.79,1
06fe2378b02bcfcf4d6fcc4b31fde6c5,40,67.11,1
070bca17bc76a393ba985b11b2f9deda,127,152.66,1
074cc70e32d05dcf3c23aead0dba2320,126,644.54,1
0750772d41a8b042cde18f59e30522b5,90,47.03,1
078fa6a7ee9792303695a290a8338ed4,64,136.64,1
07a09de7be7dc41038159430e5e9cce6,85,376.36,1
07c6e5fcb00572b328e792042930c1b0,123,99.9,1
082d62ce77055d3e52dcd10c1e2ddd2d,5,60.38,1
08345c45f60f7377380fceade8679400,22,428.8,1
089b4797064af9e8aa2cce7f5d444cc2,69,946.8,2
08b24593d911d9c0cdd1ba943a7a0cea,5,107.59,1
090e06bd1b1d1c5adc6c9de9f15339d0,121,62.39,1
09976665bcd109e7ea6ed20415c6af52,13,65.3,1
09cc193befa14d698869667e92148ab2,132,391.66,1
0a7ddabd98798908cf291b4186d1fc1a,62,455.74,1
0a884d4b833450da796608869e509d8b,41,413.17,1
0abafbbdbf470bb4d8b867ec525f25f3,71,390.59,1
0ac3d2e75de7f6c5c7db97c7ff7bda95,65,48.3,1
0af8a25fb0b6f833724bb5818275807b,18,189.18,1
0b15496cbc114f48fa133a72bb4ab7b1,148,191.79,1
0b27725e97cb4b6100a8a01b288cead5,65,743.04,3
0b70631e89b09a3dc8acc7d20d595b18,105,1052.36,1
0b712ffa093a053e8b8de49f7dc88ba1,52,19.38,1
0b740973d0afec9625bbd885a48c9faf,112,184.09,1
0bd74f1b5a443003dd5671bf1eab744b,6,124.83,1
0bf1cd44cdc21a2be05e1917aa554f0d,122,171.0,1
0c30d6931a3ecd7724601a0fbf5151e2,80,71.31,1
0c84917730287c0b7fd7fb02a8389a9c,99,465.48,1
0cbe168a97e6c609efc3b68817fcc92f,96,154.8,1
0cd47d0f215e41d6ba8bbb5454aa8525,157,51.13,1
0d0e02f035f84b429d470d83437aad47,99,49.39,1
0d30ce0128ab8a11c943446395ae13c8,77,45.3,1
0d554604c3b40dee69eca5c62176f905,110,2047.44,2
0d647c9d0665a42436b1286bce3163e6,31,361.89,1
0d9734a4567cc69f0c6631ef532eb423,64,56.99,1
0db14e678766522f6cb08781de60626e,23,88.08,1
0dccee4f33390ac6dfa9e227c3ebbb94,98,107.8,1
0e412c4ec24391b80003616b950bd7ed,120,644.54,1
0e412f1b10cc95f4ab840edd052b51c5,132,209.0,1
0e5ab442b393bd2552068b745c456079,74,78.87,1
0f02b6019136f15670d57be81d826d5e,67,504.65,1
0f5cb52a437e2f6062863423966ccb54,82,144.63,1
0f6ae9992fe5367634017e013374aee4,55,24.49,1
0fd907ed9ba70e6b277e620ea89c5118,43,279.57,1
0ffb1eef43d5b09212ae83cbdc298470,105,350.09,1
10066d6eb46dff8e73177532e722e60a,32,2252.66,1
102d5f33c41586f432227d8206b4ba66,61,88.48,1
10bd0e79bb50988c58efb453331c88cf,36,209.51,1
10bdb4d046daa3102b2a3336b8ac6626,7,127.79,1
10c29c2d0b6dbe6bbc886543c1b9097e,29,100.18,1
10d2a255228fa0b30be3453dc1feb36b,127,209.41,1
10fe8f57329b7dde626bdb7ca0398f00,106,27.78,1
11529689a3fdf79b53cf853daf570b16,96,693.59,1
11cf3782d686a2a5ffca194357a9bca4,63,203.12,1
11db51edb95395503d9acf29f9fb3d09,110,137.45,1
11fafdac97dcd334c09f16efc5ec0fb0,7,93.02,1
121355be7d020e10aa2e966766ee182d,121,48.96,1
128899de758f142b0ee99a055e863476,30,622.28,1
128dc49d33d9e4705ca47a66f8fcfcab,22,70.89,1
